Language,R,G,B,Hex
Haml,236,226,169,#ece2a9
Handlebars,246,147,30,#f7931e
Harbour,14,96,227,#0e60e3
Hare,157,116,35,#9d7424
Haskell,94,80,134,#5e5086
Haxe,223,121,0,#df7900
HiveQL,220,226,0,#dce200
HolyC,255,239,175,#ffefaf
Hosts File,48,135,136,#308888
Hurl,255,1,135,#ff0288
Hy,118,144,178,#7790b2
IDL,162,82,47,#a3522f
IGOR Pro,0,0,204,#00c
IL Assembly,80,42,212,#512bd4
INI,209,219,224,#d1dbe0
ISPC,45,104,177,#2d68b1
Idris,179,0,0,#b30000
Ignore List,0,0,0,#000
ImageJ Macro,153,169,255,#9af
Imba,22,206,198,#16cec6
Inno Setup,38,74,153,#264b99
Io,169,24,140,#a9188d
Ioke,7,129,147,#078193
Isabelle,254,253,0,#fefe00
Isabelle ROOT,254,253,0,#fefe00
J,158,236,255,#9eedff
JAR Manifest,176,113,24,#b07219
JCL,217,13,8,#d90e09
JFlex,219,201,0,#dbca00
JSON,41,41,41,#292929
JSON with Comments,41,41,41,#292929
JSON5,38,124,185,#267cb9
JSONLD,12,70,156,#0c479c
JSONiq,64,212,126,#40d47e
Jac,252,120,45,#fc792d
Jai,170,138,75,#ab8b4b
Janet,8,134,165,#0886a5
Jasmin,208,53,0,#d03600
Java Properties,41,98,119,#2a6277
Java Server Pages,41,98,119,#2a6277
Java Template Engine,41,98,119,#2a6277
JavaScript+ERB,240,223,90,#f1e05a
Jest Snapshot,20,194,18,#15c213
JetBrains MPS,32,215,137,#21d789
Jinja,165,42,33,#a52a22
Jison,86,179,203,#56b3cb
Jison Lex,86,179,203,#56b3cb
Jolie,132,48,120,#843179
Jsonnet,0,100,189,#0064bd
Julia,161,112,185,#a270ba
Julia REPL,161,112,185,#a270ba
Jupyter Notebook,218,90,10,#da5b0b
Just,56,76,84,#384d54
KCL,121,186,191,#7ababf
KDL,255,179,179,#ffb3b3
KFramework,65,149,196,#4195c5
KRL,39,67,10,#28430a
Kaitai Struct,119,58,55,#773b37
KakouneScript,111,128,65,#6f8042
KerboScript,65,172,240,#41adf0
KiCad Layout,47,74,171,#2f4aab
KiCad Legacy Layout,47,74,171,#2f4aab
KiCad Schematic,47,74,171,#2f4aab
KoLmafia ASH,185,216,185,#b9d9b9
Koka,32,80,102,#215166
LFE,76,48,35,#4c3023
LLVM,24,86,25,#185619
LOLCODE,204,153,0,#c90
LSL,61,153,112,#3d9970
LabVIEW,254,222,5,#fede06
Lambdapi,128,38,163,#8027a3
Langium,43,140,135,#2c8c87
Lark,40,127,185,#2980b9
Lasso,153,153,153,#999
Latte,242,164,65,#f2a542
Leo,195,255,194,#c4ffc2
Less,28,54,93,#1d365d
Lex,219,201,0,#dbca00
LigoLANG,14,115,254,#0e74ff
